ID,タイプ,SKU,"GTIN, UPC, EAN, or ISBN",名前,公開済み,オススメですか ?,カタログでの表示,簡単な説明,説明,セール価格の開始日,セール価格の終了日,課税ステータス,税区分,在庫の有無,在庫,在庫量わずか,お取り寄せを許可する ?,個別に販売しますか ?,重量 (kg),長さ(cm),幅 (cm),高さ (cm),カスタマーレビューを許可しますか ?,注意事項,セール価格,標準価格,カテゴリー,タグ,配送クラス,画像,ダウンロード制限,ダウンロード有効期限日,親,セット販売商品,アップセル,クロスセル,外部 URL,ボタンのテキスト,位置
,simple,,,aim@（エイムアット）,1,0,visible,生徒の演習量を3倍以上に引き上げる学習塾特化型ICT教材です！,"サービス概要

aim@はあらゆる生徒のニーズに対して、演習量をUPさせることに特化したICT教材です。

学習塾には学力や学習進度が異なる様々な生徒が通っているため、講師は生徒一人ひとりに合った指導を行うのに非常に時間と労力がかかってしまいます。
例えば、


・ 英数は普段から学習しているから理社の定期テスト対策をしたい


・ 生徒から英検対策をしたいと言われるが、教材や講師不足で対策ができない


・ 地域に沿った入試問題で生徒に一人一人に対策がしたい

などが挙げられます。

aim@には、定期テスト対策コンテンツを中心に、様々な演習コンテンツが搭載されているため、生徒レベルや進み具合にあった最適な演習問題を提供します。
サービスの特長

特長１

生徒の個別ニーズに対応した演習教材
特長２

講師の手間なく生徒一人で学習を進められる
特長３

指導スタイルを崩さず手軽に利用できる
相性が良くない塾・今後の改善点

個別指導・集団指導・自立型など様々な塾で導入いただいております。
新機能・新コンテンツも随時アップデート中です。
オススメの活用法

学習塾の指導時間中の活用だけではなく、授業のない生徒の自習室の演習教材や家庭学習、宿題などのピンポイントの場面の演習としてもご活用いただけます。詳細の活用方法を知りたい方はお気軽にお問い合わせください。
料金体系

詳細をまとめている資料に記載しております！お気軽にダウンロードください！
https://mates-app.jp/aim/document-form/
導入を検討されている方へのメッセージ

aim@は2021年4月のリリースから全国の学習塾様に導入いただいています！
自社で運営している教室の実証実験をもとに、生徒の成績UPを確認してから提供をしているのも一つの強みです。
気になる方はお気軽にお問い合わせください。",,,taxable,,1,,,0,0,,,,,1,,,,AI学習,"新規生徒の増加, 人材不足の解消, 業務の効率化, 授業外における家庭学習の充実, 5教科以外の指導, オンラインコースの立ち上げ",,"https://edu-match.com/wp-content/uploads/aim-logo.webp, https://edu-match.com/wp-content/uploads/aim-img01.webp, https://edu-match.com/wp-content/uploads/aim-img02.webp, https://edu-match.com/wp-content/uploads/aim-img05.webp, https://edu-match.com/wp-content/uploads/aim-img06.webp",,,,,,,,,98
,simple,,,基本のキ,1,0,visible,基礎・基本を徹底定着 映像授業+専用教材=一体型の学習システム,"サービス概要

中1~3年の英語・数学・国語・理科・社会における各単元の「基本」を映像授業と専用教材で分かりやすく学習できるサービスです。個別指導での利用はもちろん、集団指導・家庭学習のサポートなど様々なシーンでご活用いただけます。

映像授業の動画数は約2,000本。各単元の基本中の基本を理解できる動画でおこなっているため、苦手単元の克服だけでなく、初めて学ぶ単元の予習にも最適です。

学習の進捗や理解度を記録できる学習管理機能が搭載されているため、学習レポートや修了証の印刷も可能です。
サービスの特長

特長１

いまさら聞けない基本事項を丁寧に解説
特長２

基本事項の確認だけでなく基本問題の解説まで収録
特長３

専用テキストだから映像を見ながら書き込める
相性が良くない塾・今後の改善点

教科によってテキストの分量が違います",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,授業外における家庭学習の充実,,https://edu-match.com/wp-content/uploads/kihon-ki-logo.webp,,,,,,,,,100
,simple,,,天神X,1,0,visible,1400教室以上の実績。1学年1教科から6教科セットまで対応のICT教材,"サービス概要

「天神」30年の実績を結集。 教科書準拠×個別最適化で「誰も取り残さない」クラウド型ICT教材（2025年11月発売）として「天神X」が登場しました。

教科書準拠×個別最適化で「誰も取り残さない」クラウド型ICT教材として2025年11月に発売された新商品。

IT導入補助金をはじめ各種補助金に対応。

・対応学年： 小学1年生〜中学3年生（全学年）
・対応教科： 国語、数学(算数)、理科、社会、英語、生活
・学習機能： 教科書準拠、スモールステップ、動画レクチャー、音声読み上げ、一問一答、類題反復
・管理機能： リアルタイムモニタリング、カリキュラム作成（学年またぎ可）、宿題管理、成績分析、保護者機能
・動作環境： クラウド型Webアプリ（Windows, Mac, ChromeOS, iPad, Android対応）
・料金：利用人数に応じたID課金プラン（家庭学習機能も標準搭載）
サービスの特長

特長１

全国の教科書に準拠（カバー率：小学100％、中学99.8％）
特長２

生徒毎に「個別最適」なカリキュラムを自在に設定
特長３

「フリー・課題・宿題」3つのモードでシームレスな学び",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,授業外における家庭学習の充実,,"https://edu-match.com/wp-content/uploads/tenjin_x_logo.webp, https://edu-match.com/wp-content/uploads/tenjin_img02.webp, https://edu-match.com/wp-content/uploads/tenjin_img03.webp, https://edu-match.com/wp-content/uploads/tenjin_img04.webp, https://edu-match.com/wp-content/uploads/tenjin_img05.webp, https://edu-match.com/wp-content/uploads/tenjin_img06.webp, https://edu-match.com/wp-content/uploads/tenjin_img07.webp, https://edu-match.com/wp-content/uploads/tenjin_img08.webp",,,,,,,,,100
,simple,,,基本のキ　思考力編,1,0,visible,高校入試に必要な思考力を育む！ 映像授業+専用教材の一体型の学習システム！！,"サービス概要

高校入試合格に必要不可欠となった「思考力・表現力」を追われる問題を映像授業と専用教材で分かりやすく学習できるサービスです。

専用教材は書き込みができる教材を使用しているため、解答へ至るための考え方や思考すべきプロセスを動画の解説に沿って理解できます。
サービスの特長

特長１

丁寧で分かりやすい映像授業
特長２

テキストに書き込みながら受講できます
特長３

別冊の詳細な解答解説もあります
相性が良くない塾・今後の改善点

どうしても映像授業の時間が長くなります",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,授業外における家庭学習の充実,,https://edu-match.com/wp-content/uploads/kihon-ki-shikoryoku-logo.webp,,,,,,,,,100
,simple,,,デジタルドリル　中学版,1,0,visible,一問一答と選択問題をいつでもどこでも！ 学書の中学生向け教材をデジタルで学習,"サービス概要

一問一答形式の問題はもちろん、選択肢形式の問題を大問単位で学習できるデジタルドリルサービスです。

基本から受験レベルの問題を繰り返しできるお得な4教科セット（英語・数学・理科・社会）でのサービスです。
サービスの特長

特長１

一問一答レベルから受験レベルまでを網羅
特長２

受験用リスニング教材もラインナップに
特長３

デジタルだからこそ繰り返し解ける
相性が良くない塾・今後の改善点

自動採点ではなく自己採点する必要があります",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,授業外における家庭学習の充実,,https://edu-match.com/wp-content/uploads/digital-drill-jh-logo.webp,,,,,,,,,100
,simple,,,デジタルドリル　小学英語,1,0,visible,小学英語の定着はデジタルで！,"サービス概要

テキストと完全に連動しているデジタルドリルサービスです。

テキストで出てきた単語や表現を繰り返しパターン演習できるほか、音声も吹き込み式でチェックできる問題を用意しています。

テキストに連動しているからこそ効果的な学習と定着が図れます。
サービスの特長

特長１

テキストに完全連動したドリル
特長２

4技能に対応したチェックが可能
特長３

吹き込んだ音声の自動採点
相性が良くない塾・今後の改善点

小学校のコンテンツのみであること",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,授業外における家庭学習の充実,,https://edu-match.com/wp-content/uploads/digital-drill.webp,,,,,,,,,100
,simple,,,Kazasu（カザス）,1,0,visible,写真で伝える入室管理システム,"サービス概要

写真付きで生徒の入室退室時間を管理、通知はメール以外に専用アプリやLINE（連携別途有償）でも可能です（遅刻や欠席も可能）。

校務面では面談や保護者会などの通知管理のほか請求関連機能もkazasuで一括管理できます。
サービスの特長

特長１

保護者が写真付きで確認できます
特長２

ICカードではないのでカードが安価
特長３

メール、専用アプリ、LINEなど多様な通知
相性が良くない塾・今後の改善点

夕日などがさす場面では認識しづらい",,,taxable,,0,,,0,0,,,,,1,,,,コミュニケーション,保護者とのコミュニケーションの円滑化,,https://edu-match.com/wp-content/uploads/kazasu-logo.webp,,,,,,,,,100
,simple,,,Hodoo ENGLISH（フードゥーイングリッシュ）,1,0,visible,英語の世界に飛び込める！ 「話す」に特化した英語学習プログラム,"サービス概要

ゲーミフィケーションを取り入れた学習方法で、スピーキングをはじめとした4技能向上を図るサービスです。

子どもたちは３Ｄバーチャル空間のなかで学習を進めることで、自然と英語に触れる時間を増やし、キャラクターとの会話（リスニング・リーディング・スピーキング・ライティング）を通じて英会話の経験を増やすことが出来ます。
サービスの特長

特長１

ゲームでの冒険を通じて無理なく「学習」
特長２

キャラクターとの会話なので恥ずかしくない！
特長３

ＬＭＳがあるのでやらせっぱなしになりません",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,授業外における家庭学習の充実,,https://edu-match.com/wp-content/uploads/hodoo-english.webp,,,,,,,,,100
,simple,,,システムASSIST（アシスト）,1,0,visible,個別最適化・先生の負担軽減・子どもの学力アップを可能にする豊富な機能,"サービス概要

システムAssistに内蔵された映像コンテンツは約90000。
小学生から高校生まで、主要5科目を提供。

映像はテキストをもとに作成し、導入から問題の解答解説まで丁寧な説明が収録されています。

レベルは超基礎、基本、応用、発展と幅広い学力の生徒に対応できるものを取り揃え、教科書準拠、講習、入試、検定など目的・時期に応じて使い分けることができます。

これらの映像授業を効果的に学習し、且つ先生の負担軽減のために、様々な機能が搭載されています。
目的・レベル別の約1000種類の学習カリキュラム、学習課題の自動表示、映像授業にリンクした確認テスト・宿題プリント、自動採点機能、学習状況管理など。
サービスの特長

特長１

超基礎レベルのコンテンツからあります
特長２

自動化で先生の負担を軽減できます
特長３

年間の学習管理ができます
相性が良くない塾・今後の改善点

機能が多く、慣れるのに時間がかかります
オススメの活用法

ワンオペで複数生徒（1対20）の個別指導を行うことができます。
レベルに応じたテキストと授業中の指示の自動化で低い学力の生徒さんでも自分の力で課題をこなせます。
人件費率を下げる教室運営がお勧めです。
料金体系

直接お問い合わせください
導入を検討されている方へのメッセージ

まずは資料請求してください。その後、オンラインでの個別説明会で詳細をお伝えします。体験IDを発行しますので、実際にシステムを動かしていただければと思います。",,,taxable,,1,,,0,0,,,,,1,,,,その他,"新規生徒の増加, 保護者とのコミュニケーションの円滑化, 人材不足の解消, 業務の効率化, リモートワークの実現, 授業外における家庭学習の充実, オンラインコースの立ち上げ",,"https://edu-match.com/wp-content/uploads/assist.webp, https://edu-match.com/wp-content/uploads/assist01.webp, https://edu-match.com/wp-content/uploads/assist03.webp, https://edu-match.com/wp-content/uploads/assist04.webp",,,,,,,,,10
,simple,,,サス学クラウドサービスSGX（エスジーエックス）,1,0,visible,未来志向の塾様のために…未来を創る子どもたちを育むSDGs×探究型学習「サス学」,"サービス概要


SDGsに表されるような地球規模の課題が山積している今、子どもたちの学びの目的も、教科の枠組みや国境までをも超えて、世界をにらんだものとなるでしょう。そして、子どもたちの探究心を引き出す学びは、すべての教科の学習意欲に繋がり、基本的な学習姿勢を育みます。未来志向の塾様の教育現場にぜひ取り入れていただきたいと考えております。
サービスの特長

特長１

SDGsの学びを取り入れることができます。
特長２

探究型学習のコンテンツをご提供します。
特長３

ファシリテータとしての講師研修を行います。
相性が良くない塾・今後の改善点

ご導入のハードルが高く顧客ニーズ開拓が必要",,,taxable,,0,,,0,0,,,,,1,,,,教材作成,5教科以外の指導,,https://edu-match.com/wp-content/uploads/jc-sgx.webp,,,,,,,,,100
